Latitude,Longitude,Address
25.926289,-80.160171,"1991, North Miami Beach Boulevard, 33162, North Miami Beach Boulevard, North Miami Beach, FL, United States"
25.7408283,-80.2539353,"2707, Southwest 37th Avenue, 33133, Southwest 37th Avenue, Coral Gables, FL, United States"
25.9251771,-80.1745483,"1252, Northeast 163rd Street, 33162, Northeast 163rd Street, North Miami Beach, FL, United States"
25.7660365,-80.2021388,"462, Southwest 8th Street, 33130, Southwest 8th Street, Miami, FL, United States"
25.7488196,-80.3227631,"Southwest 23rd Street, 33155, Florida, United States"
25.7784656,-80.2713548,"4630, Northwest 7th Street, 33126, Northwest 7th Street, Miami, FL, United States"
26.0462328,-80.2382995,"Stirling Road, 33024, Davie, Florida, United States"
26.1367012,-80.1196705,"Northeast 20th Avenue, 33304, Fort Lauderdale, Florida, United States"
25.945581,-80.163739,"1834, Northeast Miami Gardens Drive, 33179, Northeast Miami Gardens Drive, Miami, FL, United States"
25.9849151,-80.1397654,"East Hallandale Beach Boulevard @ Southeast 8th Avenue, East Hallandale Beach Boulevard, 33009, East Hallandale Beach Boulevard, Hallandale Beach, Florida, United States"
27.2211975,-80.2638099,"Antioch Avenue, 34994, North River Shores, Florida, United States"
26.1257571,-80.141201,"Northeast 4th Street, 33394, Fort Lauderdale, Florida, United States"
26.1187794,-80.2022849,"Southwest 1st Street, 33317, Lauderhill, Florida, United States"
26.0255855,-80.2268199,"Top China, Northwest 69th Avenue, 33024, Northwest 69th Avenue, Hollywood, Florida, United States"
27.2709457,-80.3163817,"City Fountain, Port Saint Lucie, Florida, United States"
26.0094234,-80.2226641,"Southwest 68th Avenue, 33023, Pembroke Pines, Florida, United States"
26.0319147,-80.2064774,"North 58th Way, 33021, Hollywood, Florida, United States"
26.0115876,-80.150305,"Hollywood Boulevard, 33022, Hollywood, Florida, United States"
25.8814922,-80.2920046,"The Children Kingdom Learning Center, West 65th Street, 33012, West 65th Street, Hialeah, FL, United States"
25.9843133,-80.1729739,"Babados FOR NOW! | Wholesales, 3192, West Hallandale Beach Boulevard, 33009, West Hallandale Beach Boulevard, Pembroke Park, FL, United States"
27.2435817,-80.2317937,"Northeast Highland Avenue, 34957, Jensen Beach, Florida, United States"
27.1720867,-80.2650838,"Southwest Conch Cove Lane, 34990, Palm City, Florida, United States"
27.2817543,-80.293661,"US Highway 1, 34952, Port Saint Lucie, Florida, United States"
27.2702256,-80.2886129,"2002, Southeast Port Saint Lucie Boulevard, 34952, Southeast Port Saint Lucie Boulevard, Port Saint Lucie, FL, United States"
28.0797068,-80.6045253,"Strawbridge Avenue, 32901, Melbourne, Florida, United States"
28.0365433,-82.7389181,"34621, Clearwater, Florida, United States"
27.9831751,-82.728687,"Subway, US 19 Northbound Frontage Road, 33765, US 19 Northbound Frontage Road, Clearwater, FL, United States"
28.2611157,-81.5893519,"Excitement Drive, 33896, Florida, United States"
28.3340623,-81.4783589,"Smokey Bones Bar & Fire Grill, Vineland Road, 34746, Vineland Road, Florida, United States"
28.2928816,-81.6655095,"Pizzano's Pizza & Grinderz, 33897, Florida, United States"
28.4201303,-81.4620264,"Hair Salon Spa, 6151, Westwood Boulevard, 32821, Westwood Boulevard, Orlando, FL, United States"
28.3338183,-81.4954718,"Polynesian Isle Boulevard, 34746, Florida, United States"
28.4963611,-81.4605227,"Comfort Massage & Spa, Summeroak Street, 32835, Summeroak Street, Orlando, Florida, United States"
28.3938344,-81.4648889,"Chocolate Museum & Cafe, 11701, International Drive, 32821, International Drive, Florida, United States"
28.4657837,-81.3977049,"South Orange Blossom Trail, 32809, Florida, United States"
